Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,lat,lng,Spring_tavg,Spring_tmin,Spring_tmax,Spring_prcp,Spring_tsun,Summer_tavg,Summer_tmin,Summer_tmax,Summer_prcp,Summer_tsun,Fall_tavg,Fall_tmin,Fall_tmax,Fall_prcp,Fall_tsun
Jolie Extra Dry Spumante 2016,Italy,Sicilia,Feudi Branciforti dei Bordonaro,3.6,30,9.9,2016,37.587794,14.155048,13.22380510965983,7.88920799891154,18.40770212809245,2.065591275691986,38636.006510416664,24.2954839070638,17.782237370808918,30.34730847676595,0.6297491217652956,46393.583333333336,17.356094678243,12.896448135375977,22.387218475341797,1.6997491518656414,32594.83203125
Brut Rosé 2016,Germany,Baden,Griesel & Compagnie,4.0,30,31.0,2016,53.0023496,9.0820955,8.546914100646973,4.135795672734578,12.853609402974447,1.6076703071594238,34013.776041666664,17.541735649108887,13.097713470458984,21.66095733642578,3.346272269884745,37521.092447916664,10.42794926961263,7.692175547281901,13.19027582804362,2.5380645195643106,17587.534505208332
Brut 2010,Germany,Rheingau,Georg Breuer,3.7,30,35.9,2010,50.1339394,8.0701591,9.556639909744263,5.104265093803406,13.634696165720621,2.353046695391337,30145.680989583332,17.002620061238606,12.375412305196127,21.339192708333332,2.6493548154830933,40681.291666666664,10.134146372477213,7.2041934331258135,13.228816986083984,2.08243727684021,18469.4775390625
Vintage Chardonnay 2007,Germany,Rheinhessen,Raumland,4.4,30,70.18,2007,49.9045181,8.2711082,8.82686710357666,4.44728128115336,13.016582489013672,2.14555553595225,32073.107421875,19.842032114664715,14.68545405069987,24.551886876424152,1.9162724216779072,44578.60546875,13.223508834838867,9.463445822397867,17.09339205423991,1.8608243068059285,22905.935221354168
Méthode Cap Classique 2013,South Africa,Stellenbosch,Thelema,3.8,31,21.9,2013,-33.934444,18.869167,17.353774706522625,12.265832583109537,23.2655455271403,1.9579570690790813,35147.416666666664,10.677128156026205,6.270654042561849,15.319148381551107,4.672222137451172,29728.281901041668,15.237744331359863,9.95239226023356,20.740474700927734,1.6797133088111877,40352.630208333336
Brachetto Piemonte 2018,Italy,Piemonte,Borgo Maragliano,4.2,31,9.9,2018,45.060735,7.923549,12.903409639994303,7.278120199839274,18.4776185353597,2.1180286804835,35485.545572916664,23.569173177083332,18.060862223307293,29.511202494303387,2.6386022170384726,44593.89453125,12.781987031300863,8.061596632003784,18.42545000712077,0.9474193366865317,29007.243489583332
Rosé Brut 2015,Germany,Rheingau,Schloss Vaux,3.6,31,25.0,2015,50.1339394,8.0701591,10.091949621836344,5.41437292098999,14.499444007873535,1.4270968238512676,33724.2265625,16.940768877665203,12.529426256815592,21.080734888712566,3.438924769560496,41264.494791666664,10.79726235071818,7.717132409413655,13.948171615600586,1.769856611887614,17349.6552734375
Blanc de Blancs Brut Champagne 2014,France,Champagne,Deutz,4.4,32,72.0,2014,45.831944,-0.906667,10.48548666636149,6.492829481760661,14.475643157958984,2.2394980986913047,34080.137369791664,20.117003122965496,15.371951421101889,24.557758331298828,1.770250916481018,42934.313802083336,14.39601961771647,10.941790103912354,17.94403012593587,2.4149821996688843,26118.908854166668
Izar-Leku Hondarrabi Zuri 2016,Spain,Getariako Txakolina,Artadi,3.9,32,27.1,2016,40.0,-4.0,15.208719571431478,8.841496308644613,21.50452486673991,0.9187455152471861,39854.951822916664,26.940034866333008,19.885528564453125,33.24730428059896,0.48813621203104657,46780.01953125,15.959483782450357,10.678844134012857,21.361818313598633,1.1448028882344563,33178.08203125
Vecchia Modena Premium Mention Honorable 2019,Italy,Lambrusco di Sorbara,Cleto Chiarli,3.8,32,9.65,2019,44.753007,11.009671,13.362298011779785,8.618324677149454,18.458216667175293,3.186630884806315,32544.94140625,24.82991600036621,19.385061899820965,30.297714233398438,1.6637634833653767,44905.145833333336,15.75769011179606,11.8355819384257,20.43943468729655,2.6756271918614707,27254.82421875
Donna Cora 2014,Italy,Franciacorta,Montenisa,4.0,33,36.5,2014,45.5891866,10.076411,10.495609124501547,5.74426531791687,14.503620465596518,5.580179214477539,29941.026041666668,21.59109878540039,16.069910685221355,26.070555369059246,2.761577010154724,45784.553385416664,13.787433942159018,10.527258078257242,16.799749692281086,3.8436200618743896,24700.847005208332
