Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
Shiraz 2018,South Africa,Stellenbosch,Delaire Graff,3.6,222,11.5,2018,Stellenbosch,South Africa,-33.934444,18.869167
Syrah d'Ogier 2017,France,Collines Rhodaniennes,Michel & Stéphane Ogier,3.9,222,11.9,2017,Collines Rhodaniennes,France,48.098074,-1.706968
Margaux (Grand Cru Classé) 2016,France,Margaux,Château Dauzac,4.1,222,68.14,2016,Margaux,France,45.0463335,-0.6729117
Valpolicella Ripasso 2016,Italy,Valpolicella Ripasso,Bertani,3.8,2226,12.55,2016,Valpolicella Ripasso,Italy,42.83333,12.83333
Crianza 2016,Spain,Rioja,Hacienda López de Haro,3.6,2227,7.6,2016,Rioja,Spain,42.3285528,-2.4674917
Grumello Valtellina Superiore 2015,Italy,Valtellina Superiore,Nino Negri,3.5,223,13.15,2015,Valtellina Superiore,Italy,44.46006,7.10425
Burdese 2014,Italy,Menfi,Planeta,3.8,223,20.29,2014,Menfi,Italy,37.606639,12.967843
Le Haut-Médoc de Lagrange 2015,France,Haut-Médoc,Château Lagrange,3.3,223,17.95,2015,Haut-Médoc,France,45.1445995,-0.7357492
Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Bouscaut,4.1,223,49.95,2005,Pessac-Léognan,France,44.718997,-0.60521
Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Grand-Pontet,4.2,223,64.95,2005,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Kalterersee Classico Superiore 2018,Italy,Trentino-Alto Adige,Cantina Kaltern,3.4,223,7.02,2018,Trentino-Alto Adige,Italy,46.441472,11.282121
Rioja Reserva 2013,Spain,Rioja,Luis Cañas,4.0,2230,13.99,2013,Rioja,Spain,42.3285528,-2.4674917
Bicicleta Cabernet Sauvignon 2015,Chile,Central Valley,Cono Sur,3.3,2237,6.5,2015,Central Valley,Chile,-36.0,-72.0
Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Argiano,4.2,224,35.84,2015,Brunello di Montalcino,Italy,43.3204995,11.3281859
Saint-Émilion Grand Cru 2015,France,Saint-Émilion Grand Cru,Château Pindefleurs,3.8,224,25.9,2015,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Connétable Talbot Saint-Julien 2005,France,Saint-Julien,Château Talbot,4.1,224,116.95,2005,Saint-Julien,France,47.4019947,5.1364639
Dolcetto d'Alba 2016,Italy,Dolcetto d'Alba,Elio Altare,3.6,224,14.36,2016,Dolcetto d'Alba,Italy,42.83333,12.83333
Siglo de Oro Cabernet Sauvignon 2017,Chile,Central Valley,Santa Helena,3.4,224,6.2,2017,Central Valley,Chile,-36.0,-72.0
Campo Casalvegri Valpolicella Classico Superiore 2016,Italy,Valpolicella Classico,Ca La Bionda,4.0,224,17.5,2016,Valpolicella Classico,Italy,42.83333,12.83333
Gigondas 2015,France,Gigondas,Xavier Vignon,3.8,224,19.95,2015,Gigondas,France,44.1641127,5.0051053
Opus Eximium 2017,Austria,Mittelburgenland,Gesellmann,3.9,224,25.24,2017,Mittelburgenland,Austria,47.504516,16.4944303
Pagodes de Cos 2016,France,Saint-Estèphe,Cos d'Estournel,4.2,224,43.77,2016,Saint-Estèphe,France,45.5925,0.6633333
Brunello di Montalcino (Campo di Marzo) 2013,Italy,Brunello di Montalcino,Il Valentiano,4.2,224,34.5,2013,Brunello di Montalcino,Italy,43.3204995,11.3281859
Terroir Series Coletto Malbec 2015,Argentina,Mendoza,Trapiche,4.2,224,31.9,2015,Mendoza,Argentina,-34.787093,-68.4381868
Reserva 2015,Spain,Ribera del Duero,Hacienda Monasterio,4.4,224,48.55,2015,Ribera del Duero,Spain,41.6657566,-3.6863295
Vertigo 2018,Italy,delle Venezie,Livio Felluga,3.8,224,13.53,2018,delle Venezie,Italy,45.3485187,11.9571797
Bordeaux Rouge 2017,France,Bordeaux,Mouton Cadet,3.5,2243,10.5,2017,Bordeaux,France,44.841225,-0.5800364
Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,Avignonesi,3.9,2245,17.74,2014,Vino Nobile di Montepulciano,Italy,43.0716467,11.8054771
Vigne Vecchie Leggenda Primitivo di Manduria 2016,Italy,Primitivo di Manduria,Vigneti del Salento,4.4,2246,17.5,2016,Primitivo di Manduria,Italy,40.4002788,17.6374622
Pauillac (Grand Cru Classé) 2000,France,Pauillac,Château Lynch-Bages,4.5,2248,385.0,2000,Pauillac,France,45.1995626,-0.7484994
Teroldego Morei 2015,Italy,Vigneti delle Dolomiti,Foradori,3.9,225,32.0,2015,Vigneti delle Dolomiti,Italy,46.38333,11.85
Acuma 2018,Spain,Jumilla,EGO,4.1,225,7.9,2018,Jumilla,Spain,38.4735408,-1.3285417
Barbaresco 2017,Italy,Barbaresco,Prunotto,3.8,225,26.89,2017,Barbaresco,Italy,44.7254469,8.0806959
Vinedos de La Provincia 2016,Spain,Castilla y León,Prieto Pariente,3.8,225,17.99,2016,Castilla y León,Spain,41.55005,-5.1387401
Pieve Santa Restituta Sugarille Brunello di Montalcino 2011,Italy,Brunello di Montalcino,Gaja,4.6,225,149.0,2011,Brunello di Montalcino,Italy,43.3204995,11.3281859
Simon Pic Saint Loup 2011,France,Pic-Saint-Loup,Clos Marie,3.9,225,23.88,2011,Pic-Saint-Loup,France,43.7788923,3.81117
Sardón 2017,Spain,Castilla y León,Quinta Sardonia,3.8,225,9.85,2017,Castilla y León,Spain,41.55005,-5.1387401
Pessac-Léognan 2005,France,Pessac-Léognan,Château les Carmes Haut-Brion,4.2,225,129.95,2005,Pessac-Léognan,France,44.718997,-0.60521
Pian Romualdo Barbera d'Alba 2017,Italy,Barbera d'Alba,Prunotto,3.8,225,22.99,2017,Barbera d'Alba,Italy,44.7712158,8.0435811
Haut-Médoc 2015,France,Haut-Médoc,Château Clement-Pichon,3.7,225,22.32,2015,Haut-Médoc,France,45.1445995,-0.7357492
Rocca Guicciarda Chianti Classico Riserva 2015,Italy,Chianti Classico,Ricasoli,3.8,2256,19.9,2015,Chianti Classico,Italy,43.3930219,11.3088538
Max Reserva Carmenère 2016,Chile,Aconcagua Valley,Errazuriz,3.9,2259,14.53,2016,Aconcagua Valley,Chile,-30.0,-71.0
Pinotage (Stone Bridge) 2017,South Africa,Franschhoek,Franschhoek Cellar,3.8,226,8.5,2017,Franschhoek,South Africa,-33.909167,19.119444
Spätburgunder (Pinot Noir) Trocken 2018,Germany,Pfalz,Lergenmüller,3.5,226,5.9,2018,Pfalz,Germany,53.8156324,13.3702287
Pinot Noir 2014,United States,Sonoma Coast,Occidental,4.4,226,72.13,2014,Sonoma Coast,United States,28.4225165,-81.6551998
Mount Hermon Red 2019,Israel,Galilee,Hermon,3.7,226,9.95,2019,Galilee,Israel,32.8008444,35.5889732
MMM Macho Man 2017,Spain,Jumilla,Casa Rojo,4.0,2263,19.45,2017,Jumilla,Spain,38.4735408,-1.3285417
Grand Vin Minervois La Livinière 2015,France,Minervois La Livinière,L'Ostal Cazes,3.9,227,18.5,2015,Minervois La Livinière,France,43.3124595,2.6385734
Aurelio Maremma Toscana 2016,Italy,Maremma Toscana,Val delle Rose,3.9,227,23.25,2016,Maremma Toscana,Italy,42.7027722,11.1367433
Sandstone Merlot 2013,United States,Livermore Valley,Wente,3.7,227,14.04,2013,Livermore Valley,United States,36.009638,-115.2831998
